trial_id,inner_optimizer.lr,inner_optimizer.clipping.upper,inner_optimizer.warmup_steps,val_loss_best,val_loss_best_step,val_loss_final,val_loss_final_step,best_val_loss,best_step
trial_0056,0.05,10.0,50,5.913825035095215,275,7.613748822893415,475,5.913825035095215,275
trial_0057,0.05,10.0,100,5.907698903764997,275,7.711020810263498,475,5.907698903764997,275
trial_0058,0.05,10.0,200,5.854784318378994,275,7.553460563932147,475,5.854784318378994,275
trial_0059,0.05,10.0,500,5.798139078276498,275,7.317628928593227,475,5.798139078276498,275
trial_0060,0.1,0.5,20,5.851881912776402,275,5.975978442600796,475,5.851881912776402,275
trial_0061,0.1,0.5,50,5.852448412350246,450,5.95695550101144,475,5.852448412350246,450
trial_0062,0.1,0.5,100,5.849157129015241,450,5.939875602722168,475,5.849157129015241,450
trial_0063,0.1,0.5,200,5.829344170434134,225,5.945415019989014,475,5.829344170434134,225
trial_0064,0.1,0.5,500,5.871902397700718,450,5.9816522768565585,475,5.871902397700718,450
trial_0066,0.1,1.0,50,5.816557475498745,275,6.135517239570618,475,5.816557475498745,275
trial_0065,0.1,1.0,20,5.891235487801688,275,6.170575380325317,475,5.891235487801688,275
trial_0067,0.1,1.0,100,5.859327384403774,275,6.085175173623221,475,5.859327384403774,275
trial_0068,0.1,1.0,200,5.8314922877720425,275,6.080042770930699,475,5.8314922877720425,275
trial_0070,0.1,5.0,20,5.884496654782977,275,7.348957095827375,475,5.884496654782977,275
trial_0069,0.1,1.0,500,5.8460601057325094,225,6.106192418507168,475,5.8460601057325094,225
trial_0071,0.1,5.0,50,5.939147506441389,275,7.239447866167341,475,5.939147506441389,275
trial_0072,0.1,5.0,100,5.785996505192348,275,7.220290218080793,475,5.785996505192348,275
trial_0073,0.1,5.0,200,5.938022715704782,275,7.291343825204032,475,5.938022715704782,275
trial_0074,0.1,5.0,500,5.868534343583243,275,7.126881905964443,475,5.868534343583243,275
trial_0075,0.1,10.0,20,6.281976563589914,275,10.25421633039202,475,6.281976563589914,275
trial_0076,0.1,10.0,50,6.271964515958514,275,10.589720317295619,475,6.271964515958514,275
trial_0077,0.1,10.0,100,6.065342085702079,300,10.074251447405134,475,6.065342085702079,300
trial_0078,0.1,10.0,200,5.953917469297137,300,10.428149632045201,475,5.953917469297137,300
trial_0079,0.1,10.0,500,5.899070160729544,275,10.033976078033447,475,5.899070160729544,275
trial_0080,0.5,0.5,20,5.866825512477329,275,6.436923708234515,475,5.866825512477329,275
trial_0081,0.5,0.5,50,5.95477168900626,275,6.430832215717861,475,5.95477168900626,275
trial_0082,0.5,0.5,100,5.8134733608790805,275,6.486507620130267,475,5.8134733608790805,275
trial_0083,0.5,0.5,200,5.773373331342425,275,6.454270533152989,475,5.773373331342425,275
trial_0084,0.5,0.5,500,5.827044742447989,275,6.439823831830706,475,5.827044742447989,275
trial_0085,0.5,1.0,20,5.884462254387992,275,7.141532966068813,475,5.884462254387992,275
trial_0087,0.5,1.0,100,5.826930965696063,275,7.1824512141091486,475,5.826930965696063,275
trial_0086,0.5,1.0,50,5.915197168077741,275,7.3563606057848245,475,5.915197168077741,275
trial_0088,0.5,1.0,200,5.8713231427328925,275,7.139002527509417,475,5.8713231427328925,275
trial_0089,0.5,1.0,500,5.85327056476048,275,7.081027167184012,475,5.85327056476048,275
trial_0091,0.5,5.0,50,9.222076892852783,50,17.658801078796387,475,9.222076892852783,50
trial_0090,0.5,5.0,20,9.36075394494193,275,14.637631688799177,475,9.36075394494193,275
trial_0092,0.5,5.0,100,7.101723330361502,50,12.880065781729561,475,7.101723330361502,50
trial_0093,0.5,5.0,200,6.24716169493539,50,14.773531777518135,475,6.24716169493539,50
trial_0095,0.5,10.0,20,16.330488886151993,25,19.281084878104075,475,16.330488886151993,25
trial_0094,0.5,5.0,500,6.179427521569388,50,17.5837493624006,475,6.179427521569388,50
trial_0096,0.5,10.0,50,14.150678634643555,325,24.4011013848441,475,14.150678634643555,325
trial_0097,0.5,10.0,100,10.441845553261894,25,21.133998325892858,475,10.441845553261894,25
trial_0098,0.5,10.0,200,6.806891747883388,50,22.525345257350377,475,6.806891747883388,50
trial_0099,0.5,10.0,500,6.197073800223214,50,23.70623861040388,475,6.197073800223214,50
